ID,RECHNERBEZ,DCELINK_ID,SCHWEISSGERAETE_NAME,ORTSNUMMER,WIP,BOLZEN_ID,KAROSSERIE_ID,AUSGANGS_ID,SCHWEISSPROGRAMM_ID,SCHWEISSSTROM_IST,SCHWEISSZEIT_IST,UL_HAUPTSTROM_IST,UL_VORSTROM_IST,HUBHOEHE_IST,HUBHOEHE_SOLL,ABFALLZEIT_IST,ABFALLZEIT_SOLL,DURCHDRINGUNG_IST,SCHWEISSENERGIE_IST
2132000,M050UB92BRT2,459678,15 UB92 130SWB321,8815,1,24610015,17446840,1,106,750,30.70000076,25.20000076,23.60000038,1.49000001,1.5,9.600000381,8.899999619,-0.563000023,585
2131787,M050UB92BRT2,459682,15 UB92 130SWB421,8816,1,24610219,17446840,1,120,750,32.29999924,24.60000038,22.60000038,1.49000001,1.5,9.300000191,9,-0.563000023,601
2131580,M050UB92BRT2,459694,15 UB92 130SWB221,8814,1,24620171,17446840,2,218,920,42.79999924,26.60000038,19.79999924,0.790000021,0.800000012,9.899999619,9.100000381,-1.319000006,1045
2131680,M050UB92BRT2,459686,15 UB92 130SWB121,8813,1,24610862,17446840,1,109,750,30.70000076,24.60000038,23.79999924,1.49000001,1.5,10.30000019,9.5,-0.985000014,571
2130438,M050UB93BRT1,1161176,15 UB93 030SWB221,8820,1,22610126,17446774,2,41,1000,36.59999847,28.39999962,24,1.49000001,1.5,10.80000019,10.19999981,-1.037999988,1038
2131177,M050UB93BRT1,1161179,15 UB93 030SWB521,8822,1,22610053,17446774,1,29,750,29.39999962,26.60000038,23.79999924,1.50999999,1.5,9.800000191,10.30000019,-0.933000028,599
2130641,M050UB93BRT1,1161178,15 UB93 030SWB121,8819,1,22610212,17446774,1,142,750,29.89999962,24.39999962,23,1.50999999,1.5,8.899999619,8.899999619,-0.474999994,554
2131338,M050UB93BRT1,1161177,15 UB93 030SWB421,8821,1,22610082,17446774,1,21,750,29.70000076,26.39999962,23.60000038,1.49000001,1.5,8.100000381,8.399999619,-0.686999977,596
2131788,M050UB92BRT2,459687,15 UB92 130SWB421,8816,1,24610221,17446840,1,127,750,30.5,26,25,1.49000001,1.5,9.5,9,-0.563000023,598
2130439,M050UB93BRT1,1161180,15 UB93 030SWB221,8820,1,22610200,17446774,1,70,750,29.39999962,25.39999962,21.60000038,1.49000001,1.5,9.600000381,10.10000038,-0.933000028,574
2131581,M050UB92BRT2,459698,15 UB92 130SWB221,8814,1,24620009,17446840,1,92,750,30.5,25,23.79999924,1.49000001,1.5,10.39999962,9.899999619,-0.967999995,580
2131681,M050UB92BRT2,459692,15 UB92 130SWB121,8813,1,24610417,17446840,1,101,750,34.09999847,25.20000076,22.60000038,1.49000001,1.5,9.199999809,9.100000381,-0.66900003,650
2132001,M050UB92BRT2,459685,15 UB92 130SWB321,8815,1,24610018,17446840,1,113,750,30.5,25,23.79999924,1.50999999,1.5,10.30000019,9.800000191,-0.810000002,578
2131178,M050UB93BRT1,1161181,15 UB93 030SWB521,8822,1,22610370,17446774,1,297,750,30.20000076,26.79999924,25,1.49000001,1.5,10.60000038,10.39999962,-0.915000021,609
2130642,M050UB93BRT1,1161183,15 UB93 030SWB121,8819,1,22610003,17446774,1,69,750,28.39999962,25.79999924,23.79999924,1.50999999,1.5,8.300000191,9.899999619,-0.755999982,562
2131339,M050UB93BRT1,1161182,15 UB93 030SWB421,8821,1,22610098,17446774,1,24,750,30.20000076,25.79999924,24,1.50999999,1.5,10.39999962,10.19999981,-0.986000001,587
2131789,M050UB92BRT2,459691,15 UB92 130SWB421,8816,1,24610069,17446840,1,65,750,30.5,27.20000076,24.20000076,1.49000001,1.5,10.69999981,10.19999981,-0.897000015,621
2130440,M050UB93BRT1,1161184,15 UB93 030SWB221,8820,1,22610811,17446774,1,86,750,29.89999962,27.20000076,23.79999924,1.50999999,1.5,9.800000191,9.800000191,-0.898000002,616
2131582,M050UB92BRT2,459702,15 UB92 130SWB221,8814,1,24620079,17446840,2,176,900,41.5,26,19.39999962,0.810000002,0.800000012,8.600000381,9.100000381,-1.126000047,994
